link_id,speed
49,61.7
"112, 113",56.3
"131, 101, 102, 105",53.2
23,65.9
83,66.5
"83, 61",60.4
46,65.2
13,67.9
120,51.9
54,51.6
"96, 103, 104, 126, 127",57.6
14,57.3
"61, 83",71.5
"79, 125, 34, 100",51.0
"73, 130, 38",51.6
"40, 71",56.7
20,63.0
"47, 115, 62",68.8
"86, 107, 46",67.3
"65, 119",51.9
"27, 128, 129, 87",63.9
"62, 115, 47",62.4
"46, 107, 86",66.0
"48, 50, 132",52.4
52,37.6
53,53.0
31,46.5
57,36.5
58,52.2
59,55.7
"51, 124",56.5
56,57.4
99,56.8
"98, 80, 81",49.3
1,38.1
9,41.2
10,38.0
2,33.0
5,37.2
8,36.7
33,54.3
35,47.7
36,54.3
32,54.5
69,35.1
70,54.4
"68, 110, 25",51.2
66,40.2
67,46.3
28,39.7
29,31.9
30,41.5
75,44.1
72,39.9
37,35.4
6,30.3
12,38.0
3,39.3
26,43.9
"74, 95, 89, 88",35.4
39,39.7
"15,  94, 22",47.3
11,33.4
"7, 55",33.7
17,36.3
